from,to,type,corr
lafT,ASPASN_PWY,0.840764298,positive
lafT,FASYN_ELONG_PWY,0.779893871,positive
lafT,GLYCOLYSIS_E_D,0.759596771,positive
lafT,HOMOSER_METSYN_PWY,0.708238327,positive
lafT,P161_PWY,0.748717735,positive
lafT,P461_PWY,0.77308469,positive
lafT,PENTOSE_P_PWY,0.819700187,positive
lafT,POLYISOPRENSYN_PWY,0.719618268,positive
lafT,PWY_5838,0.729333744,positive
lafT,PWY_5840,0.745404455,positive
lafT,PWY_5861,0.739482294,positive
lafT,PWY_5897,0.741047623,positive
lafT,PWY_5898,0.741047623,positive
lafT,PWY_5899,0.741047623,positive
lafT,PWY_5918,0.736534257,positive
lafT,PWY_5989,0.801166692,positive
lafT,PWY_6147,0.726881395,positive
lafT,PWY_6282,0.781000037,positive
lafT,PWY_6961,0.702613578,positive