node,type,CD_Status
lafT,Gene,CD_depleted
ASPASN_PWY,Pathway,CD_depleted
FASYN_ELONG_PWY,Pathway,CD_depleted
GLYCOLYSIS_E_D,Pathway,CD_depleted
ooo,Pathway,CD_enriched
P161_PWY,Pathway,CD_depleted
P461_PWY,Pathway,CD_depleted
PENTOSE_P_PWY,Pathway,CD_depleted
POLYISOPRENSYN_PWY,Pathway,CD_depleted
PWY_5838,Pathway,CD_depleted
PWY_5840,Pathway,CD_depleted
PWY_5861,Pathway,CD_enriched
PWY_5897,Pathway,CD_enriched
PWY_5898,Pathway,CD_enriched
PWY_5899,Pathway,CD_enriched
PWY_5918,Pathway,CD_enriched
PWY_5989,Pathway,CD_depleted
PWY_6147,Pathway,CD_enriched
PWY_6282,Pathway,CD_enriched
PWY_6961,Pathway,CD_enriched